Training_fraction,n_rows,Training_AUC,Test_AUC
0.2,468,1.0,0.9882037220698908
0.4,937,0.9999589621996261,0.9887521148124381
0.6,1406,0.9998866690412201,0.9899772475351496
0.8,1875,0.999658547689506,0.9898722361589172
1.0,2344,0.9993876457344901,0.9903506213173094
