Model,CV_Mean_AUC,CV_Std_AUC,Test_AUC
Logistic Regression,0.970949771652375,0.0056830457987253145,0.9797794761099119
Decision Tree (max_depth=5),0.9296353137765825,0.006692056656615756,0.9657429554868444
Random Forest,0.9805052232657147,0.0040480502209181155,0.9903622892480018
Gradient Boosting,0.9825102808076924,0.002842085675674314,0.9899772475351497
Tuned RF (GridSearchCV),0.9809563616195524,,0.9903506213173094
