Model,CV_Mean_AUC,CV_Std_AUC
Logistic Regression,0.970949771652375,0.0056830457987253145
Decision Tree (max_depth=5),0.9296353137765825,0.006692056656615756
Random Forest,0.9805052232657147,0.0040480502209181155
Gradient Boosting,0.9825102808076924,0.002842085675674314
